sex,address,name,price,img,tittle
女,北京市朝阳区百子湾街道沿海赛洛城小区,遇见明天见,398,"https://image.xiaozhustatic1.com/00,800,533/15,0,73,1882,1800,1200,2cbcf49f.jpg",欢乐谷/天坛/前门大街赛洛城娱乐游戏小屋
女,北京市丰台区马家堡西路东亚三环小区,遇见明天见,398,"https://image.xiaozhustatic1.com/00,800,533/15,0,7,5381,1800,1200,4c7ca895.jpg",三环/紧临地铁/北京南站/南苑机场/简约一居
男,北京市海淀区万寿寺北里8号,baibaila123,288,"https://image.xiaozhustatic1.com/00,800,533/16,0,22,27347,1800,1200,b381d605.jpg",4号线魏公村/民大/北外/北理/中关村
男,北京市朝阳区八里庄北里一号楼,joystar5,619,"https://image.xiaozhustatic1.com/00,800,533/8,0,51,12939,1800,1200,b6397a32.jpg",红领巾桥十里堡 南北通透 阳光现代美式两居室
男,北京市朝阳区沿海赛洛城,消烦,518,"https://image.xiaozhustatic1.com/00,800,533/14,0,89,20026,1800,1200,ffd63ea7.jpg",国贸7号线百子湾欢乐谷超大复式黑色贵族之家
男,北京市朝阳区酒仙桥飘home1号楼,恋家001,398,"https://image.xiaozhustatic1.com/00,800,533/8,0,20,4763,1800,1200,19d8a424.jpg",朝阳公园/798艺术/望京soho/中央美院
男,北京市海淀区复兴路32号院统建楼4门,北京这家儿民宿,598,"https://image.xiaozhustatic1.com/00,800,533/16,0,37,17195,1800,1200,aea6d4a8.jpg",6层/白雪公主/301医院/五棵松
男,北京市海淀区太平路,奋钧,698,"https://image.xiaozhustatic1.com/00,800,533/14,0,60,22736,1800,1200,9be5f446.jpg",新房惊爆价精装大两居五棵松301医院北京西站
男,北京市石景山区鲁谷74号28号楼,wj小丑鱼,338,"https://image.xiaozhustatic1.com/00,800,533/16,0,89,8841,1800,1200,9783c4ad.jpg",石景山地铁一号线玉泉路站鲁谷雕塑公园便宜一居
女,北京市朝阳区百子湾路金都杭城,玲玲0007,428,"https://image.xiaozhustatic1.com/00,800,533/14,0,78,8855,1800,1200,14272c42.jpg",【享住】百子湾国贸近双井蓝色地中海欧陆文艺屋
女,北京市通州区北京像素,小马佳佳,458,"https://image.xiaozhustatic1.com/00,800,533/14,0,99,4677,1800,1200,b5187087.jpg",6号线直达南锣鼓巷工体-白日梦精装loft
男,北京市海淀区西翠路,奋钧,688,"https://image.xiaozhustatic1.com/00,800,533/15,0,1,5637,1800,1200,eda82e43.jpg",301医院/五棵松/北京西站/天安门/故宫
男,北京市朝阳区超级蜂巢,至尊宝宝1,285,"https://image.xiaozhustatic1.com/00,800,533/15,0,3,14695,3000,2000,7152e7b4.jpg",16传媒大学 高碑店 四惠干净舒适一居
女,北京市朝阳区八里庄西里远洋天地,虾酱小姐姐,570,"https://image.xiaozhustatic1.com/00,800,533/15,0,6,4812,1800,1201,675acdfe.jpg",【海岛假期】国贸四惠地铁旁85平运动风公寓
女,北京市西城区广安门外大街达官营,小鱼黎黎,758,"https://image.xiaozhustatic1.com/00,800,533/15,0,46,23431,1800,1200,e5058a5b.jpg",达官营儿童医院宣武医院西站南站音乐学院大一居
女,北京市朝阳区沿海赛洛城,可馨小屋,498,"https://image.xiaozhustatic1.com/00,800,533/14,0,10,5659,1800,1200,81094bee.jpg",北京西站欢乐谷Loft温馨绿叶小屋
女,北京市通州区朝阳北路,山里遛狗Ramble,286,"https://image.xiaozhustatic1.com/00,800,533/8,0,81,5043,1800,1200,de758a57.jpg",地铁直达南锣鼓巷，阳光房，家庭影院
男,北京市海淀区嘉德公寓,奋钧,528,"https://image.xiaozhustatic1.com/00,800,533/15,0,75,10323,1800,1200,43e17bcd.jpg",武警医院玉泉路五棵松301医院天安门
女,北京市朝阳区来广营 北苑东路水岸南街清河营东路...,途中双喜,399,"https://image.xiaozhustatic1.com/00,800,533/15,0,11,18904,1800,1201,3f8dcde6.jpg",北苑地铁13号直达东直门西直门北欧大床房整租
女,北京市西城区马连道茶马街8号院1号楼,绿色玻璃心,618,"https://image.xiaozhustatic1.com/00,800,533/8,0,91,12532,1800,1200,906b5d1d.jpg",文艺二居室大厅临西站湾子7号线茶城商圈六里桥
男,北京市朝阳区金台里24号楼2号楼,M美景之屋,468,"https://image.xiaozhustatic1.com/00,800,533/14,0,27,26299,1800,1200,23929595.jpg",〖特色民宿〗国贸、金台路、后海、南锣鼓巷附近
女,北京市东城区东城区海运仓十号楼,NY之家,558,"https://image.xiaozhustatic1.com/00,800,533/14,0,0,12835,1800,1200,a927768d.jpg",临近天安门～北京站～三里屯～NY简欧风之家
男,北京市朝阳区沿海赛洛城406号楼,消烦,536,"https://image.xiaozhustatic1.com/00,800,533/14,0,88,21586,1800,1200,581dbdde.jpg",国贸欢乐谷7号线百子湾粉红豹少女主题loft
男,北京市丰台区马家堡西路36号院东亚三环,kkd_Yue,358,"https://image.xiaozhustatic1.com/00,800,533/12,0,2,3612,1800,1200,c73ddda3.jpg",5知寓Life，南站西单，博爱医院地铁四号线
